COMMENTS,"LANGUAGE (E, F, or N)",OFFENSIVE (Y or N),EMOTION,"Hard to annotate?
(Y or N) ","Name o link? 
(Y, L or N) ",
mayroon din sanang magpaamo ng baboy gaya mo [NAME]...ang daldal mo kasi at kontrabida sa pangulo...hahaha,F,N,Joy,N,N,
Bat puros engkanto nalang may kasalanan,F,N,Anger,N,N,
Kulong habang buhay,F,N,Anger,N,N,
Lalaki ba si [NAME]? O babae?,F,N,Joy,N,N,
Dont.call them Ahas call them Bessy,E,N,Joy,N,N,
Sana maging Teacher ko rin yung Teacher nila sa Private school,F,N,Sadness,N,N,
mahal yan binibili dto sa [NAME] kc mgahilig ang mga arabo ng ganyan,F,N,Joy,N,N,
Sa may Baclaran yata to eeh. Sa may 3F🤔.,F,N,Joy,N,Y,
ibebenta nnmn yan ng [NAME],F,N,Anger,N,N,
"Bakit sa [NAME], kinakalbo na ang kagubatan dahil sa  chromite, hindi nakikialam ang mga autoridad, siguro nabayaran, ikaw din [NAME] bakit hindi mo puntahan para malaman mo?",F,N,Anger,N,N,
sa nanay narin nang bata yan parang pinabayaan,F,N,Anger,N,N,
Hindi na ako maaasawa,F,N,Sadness,N,N,
Kahit ilang beses kng panuorin to talagang matitinag ang puso ko...,F,N,Sadness,N,N,
Illegal dahil alam ng goberno.. sila lang maka pera lok,F,N,Anger,N,N,
Yan ang gusto ng ating kababayan fat is healthy sabi nila.Kawawa nman.,F,N,Sadness,N,N,
Takot ako Jan sa mga kinakain nya,F,N,Fear,N,N,
"grabe naman yung bf ni glory! nakakaawa naman si glory, hindi na makakita,sana gumaling na siya, in[NAME] name, Amen.",F,N,Sadness,N,Y,
sa 3F trade center mart to diba? sa pasay ba to? sa two shopping?,F,N,Joy,N,Y,
[NAME]BLESSYOU sir 🤍,F,N,Joy,N,N,
Tatay ng apo ni nanay walang trabaho kaya si nanay mag provide.. Kapal naman ng mukha ng anak ni nanay.. Hindi na nahiya sa magulang nya..,F,N,Anger,N,N,
Kng cguro marami lng akong pera help kita,F,N,Sadness,N,N,
"Ang ganda niya 
Huwag mawalan ng pag asa",F,N,Sadness,N,N,
Ganito yung mga kwentong [NAME] na gustung gusto ko.,F,N,Joy,N,N,
Naaamoy ko yung ulo dito sa screen,F,N,Disgust,N,N,
To [NAME] be the Glory! 💖,E,N,Joy,N,N,
nako pag nakulong yan lalagyan ng pumada lage yan,F,N,Anger/Sadness,N,N,
"90% of comment is awa and plasticity. Ugali hinahanap nyo Pero Yung mga bingot, ngongo at iba pang may kapansanan kahit sobrang babait at loyal pagtitripan nyo?lol.",F,N,Anger,N,N,
"""nagmahal lang ako sa maling pagmamahal"" ☹️",F,N,Sadness,N,N,
May sira ulo ka kuya mga unclean foods yan may mental health ka  kuya yan ang mga generator animals sa mundo kaya pala may pandemic dahil sa mga taong  matitigas ang ulo at mga hugawan,F,N,Anger,N,N,
Yakkkk boy tapang,F,N,Disgust,N,N,
[NAME] bless kuya [NAME] ♥️♥️,F,N,Joy,N,N,
Ganyan din yun bata nuon na nasa Indonesia.... lage na cya nagsasocker kaya payat na,F,N,Joy,N,Y,
This is a miracle 😀😊,E,N,Joy,N,N,
Eto dapat ang tinutulungan,F,N,Sadness,N,N,
bakit hnd ang [NAME] mag patanim at maramihin tpos [NAME] ang binta para my kita ang mga local,F,N,Sadness,N,N,
Lupet parang nasa [NAME] ka pre,F,N,Joy,N,N,
"Kailangan gayahin ang ginagawa sa Japan, may cooperative na may insurance pa sila. Kung masira man ng bagyo o sakuna ang kanilang pananim ay hindi sila malugi dahil insured ang kanilang pananim.",F,N,Sadness,N,Y,
Bullshit the Philippine [NAME]..they want to help poor people,E,Y,Anger,N,Y,
sana may mag sponsor...at tsaka...pag maayus na mukha nya may totoong magmahal di lang...mahalin na sya kasi naayus na mukha niya,F,N,Sadness,N,N,
We should respect the gays too.....we should love them.....they are not toy.....the gay in this video is such a good person,E,N,Sadness,N,N,
Tsaka palakihin nyu sahod para wala na mag abroad,F,N,Anger,N,N,
bless bless po [NAME] and [NAME] . good samaritan ka po,F,N,Joy,N,N,
[NAME] tulungan nio po cya maoperahan #[NAME] [NAME]kabait at buti nia po tayo at [NAME]kaganda din po nia. Deserve nia po gumanda lalo dhil [NAME]kaganda ng puso nia po.,F,N,Sadness,N,N,
Mas lalong mawawala yung puno na yan. Naku Mareng [NAME]. 🤦🏻‍♀️ Save the tree isipin nyo ilang years yan bago naging puno.,F,N,Sadness,N,N,
Dapat mamigay ang [NAME] ng mga punla nian,F,N,Sadness,N,N,
Yung ina yung pabaya dyan. Kainis. Di nmn mangyayare yan sa kambal kung di pabaya yung ina. Tssk,F,N,Anger,N,N,
"kasi naman tong mga lalaki ginagamit lng mga ""beke, tao rin yan nakakaramdam.",F,N,Anger,N,N,
"Pwede na rin cguro bansagang ""Snake Island"" ang [NAME]. Maraming ahas pala dyan....",F,N,Joy,N,N,
Kaya Hindi umaasenso Ang [NAME],F,N,Sadness,N,N,
Like this! Kung gusto niyo makapag turo ulit si [NAME].😊❤️,F,N,Joy,N,N,
O. M. G.... D q kinaya.! C Kuya..  Grabeh..  Aatakihin aq nang epilipcy.. Hahahha..,F,N,Joy,N,N,
"Patay kayo dapt kasi dina kayo ng pa cover jan? . 
Sa [NAME].",F,N,Sadness,N,N,
papatayin ko yong babae no yun a,F,N,Anger,N,N,
Ngkakamot k dn b ng ulo habang pinapanuod to? 😂,F,N,Disgust,N,N,
Nakkatakot nman yan,F,N,Fear,N,N,
My ever teacher... Reyah here... hope he’s getting well... kudos! to Safe Haven and to Sir [NAME]... hoping to do a collab soon... together with my teacher [NAME],E,N,Joy,N,N,
"Nakakadiri grabe d ko kakayanin lalo na yung bulate nakaka suka nayun grabe,",F,N,Disgust,N,N,
Peace be with you,E,N,Joy,N,N,
Yuck talaga d q kinaya ...,F,N,Disgust,N,N,
Plot twist: the snake was a paid actor,E,N,None,N,N,
these serpents were already defang.,E,N,None,N,N,
"Plot twist
Deretso sa cr kasi masakit tiyan",F,N,Sadness,N,N,
Kawawa Naman Sana gumaling na sila🙏🙏,F,N,Sadness,N,N,
Pag sya na surgery for sure # 1 trend na nman ang #[NAME] let's just hope na nabigyan sya chance to show her outside beauty,F,N,Joy,N,N,
Meron pa nyan paneke,F,N,Disgust,N,N,
", ,yan ung gingamit n ensenso d2 sa [NAME] , ,kaloka sobrang mahal pla yan ,",F,N,Joy,N,N,
D manlang kinutohan ng magulang.lipstick pa atupaga nay.,F,N,Anger,N,N,
[NAME] bless po ate [NAME],F,N,Joy,N,N,
Dapat ini isip talaga ni [NAME] lahat bago sha gumawa para wlang gulo!,F,N,Anger,N,N,
Bigyan natin mga ito mga daga 😂🤣,F,N,Joy,N,N,
imong mama matapang,N,N,None,Y,N,
Tong [NAME] dpat ginantihan Mo Ung Lalaki,F,N,Anger,N,N,
Ang bait nman ni teacher 😊 buti pa sya di nandiri sa ulo ng kambal 👍 walang gloves na gamit...,F,N,Joy,N,N,
Hay nako kung part siguro ako sa team tapos dito ako na assign baka mag resign ako agad agad bahala na hahahahaha,F,N,Joy,N,N,
May alaga pa syang pusa cute,F,N,Joy,N,N,
[NAME] bless pagaling po,F,N,Joy,N,N,
bwal iyan mga buhay kadiri,F,N,Disgust,N,N,
Kawawa nman sya,F,N,Sadness,N,N,
sana matulungan sya ng mga mabubuti puso excitednko mgng kalalabasan ng itsura nya🥺,F,N,Sadness,N,N,
You are very lucky [NAME] because [NAME] never leave you [NAME]lovesyou🙏🏻,E,N,Joy,N,N,
Baka siya yung susi sa covid baka yung dugo niya ang vaccine,F,N,Joy,N,N,
Jusmeyo pag kumati panga lang ulo ko suyod agad eh. Grabi naman yan dapat naagapan agad my shampoo naman pang tanggal ng kuto eh,F,N,Anger,N,N,
Pabaya yun nanay nila. hindi na kayo naawa sa mga bata. hinayaan nio maging ganyan un ulo nila. mga kamag anak wala din concern . tsk. tsk. tsk.,F,N,Anger,N,N,
"pwede naman sigurong mag tanim at mag punla ng mga agarwoods, para mapadami pa ito tsaka hindi rin mapipigilan ang mga pilipinong mag benta at mag putol ng agarwoods dahil sa kahirapan....",F,N,Sadness,N,N,
How about plant more and wen u destroy one u plant 10,E,N,Anger,N,N,
Descendant of Salazar Slytherin 🐍,E,N,None,N,N,
Best episode ever,E,N,Joy,N,N,
[NAME] bless nakaka iyak ka pero wag Kang mawawala. Ng pag Asa cha,F,N,Sadness,N,N,
Isusurender ko ng bestie sa [NAME].🐍,F,N,Joy,N,N,
"cute mo bibi,, pero i wish maalgaan mdisiplina sa food ,, mhirap gutumin bata, sana mtygaan doble ng fam  nya,, [NAME]bless po sa fam u",F,N,Joy,N,N,
Kahit mahirap tayo ..huwag Naman po Sana ganyan humingi nalang Sana kayo ng tulong sa LGU😭,F,N,Sadness,N,N,
"Kaya nakakatakot magmahal, baka mapunta ka sa maling tao",F,N,Fear,N,N,
Kaero man [NAME]!😥 nagmahal lang talaga sya ng todo. Mali ginawa nya pero we are humans after all. Very sad for [NAME].😭,F,N,Sadness,N,N,
ano po pala  nangyare sa kamay ni kuya [NAME],F,N,Sadness,N,N,
And what is it about to do on a honey in the video?? Lol agar wood ang subject but may honey syrup clip??,E,N,Anger,N,N,
Rey Valera kahawig,F,N,Joy,N,Y,
Ano kain pa more baboy hahahaha😂🤣😂😂🤣😏😏😏,F,Y,Joy,N,N,
[NAME]bless kuya [NAME],F,N,Joy,N,N,
Si [NAME] na ahas din kamakailan lang..,F,N,Fear,N,N,
Only in the ph! Bawal yumaman ang mahihirap.. dapat ang mayaman lang ang yumayaman,F,N,Anger,N,Y,
mentality nga naman ng pilipino! since alam niyo na pala [NAME] na endangered specie na ang agarwood baka naman pede magsagawa kayo ng tree planting. tsk tsk!!!,F,N,Anger,N,N,
Grabe nasuka ako🤮🤮🤮,F,N,Disgust,N,N,
Yuck kadiri amp,F,N,Disgust,N,N,
adik yata to  eh..yak..,F,N,Digust,N,N,
Yuck mamatay ka nyan sa microbyo,F,N,Disgust,N,N,
He is truly a wisdom..[NAME] bless you [NAME] 🙏🏻,E,N,Joy,N,N,
Daghang Salamat [NAME] and Safehaven. [NAME] bless kuya [NAME]! 😊,F,N,Joy,N,N,
"Canibal sha ba?? 
Natatakot ko eh",F,N,Fear,N,N,
"Revenge won't solve anything..
Well, except for feelings
Bad taos = loves revenge",E,N,Sadness,N,N,
Nakakaawa namn Sana Hindi mangyari samin Yan kailangan Ng dead penalty yan,F,N,Anger,N,N,
Parehas silang may mali,F,N,Anger,N,N,
"maganda nman talaga sya, kahit ganyan mukha nya may magkakagus2 pa rin jan :)",F,N,Joy,N,N,
Kuto is life😨😱😅,F,N,Joy,N,N,
Napabayaan talaga  yan. Kami nga  sampu magkapatid   dalawang beses nagka kambal mama q aq may kambal lalaki  at bunso namin  kambal puro babae pero sa awa ng [NAME] hindi kami nakaranas ng ganyan...,F,N,Sadness,N,N,
Pray for [NAME],F,N,Sadness,N,N,
Eueuwieurywufeor,N,N,None,N,L,
2:40 napalundag ako😢,F,N,Fear,N,N,
"Tulungan nyo mam [NAME],kasi kumikita naman kayo.wag nyo papaasahin ang bata.",F,N,Sadness,N,N,
Buwiset ka kumareng [NAME] hindi mo sinabing bigla na lang syang manunuklaw hahahaha,F,N,Anger,N,N,
Naka medal pag igsoon niya,F,N,None,N,N,
"magaling talaga si dok
gumawa ng sariling disease
name",F,N,Joy,N,N,
napaka basic lang idol...,F,N,Joy,N,N,
Kayabangan ng taong to,F,N,Anger,N,N,
Edkaluwag wala bayan,F,N,None,N,Y,
"The gay was very wrong, but he was just blinded and fooled by a false emotion towards that man. Bakit kasi ayaw nalang makontento? Mahirap ba yun?",F,N,Sadness,N,N,
grabeh grabeh😯😯😂,F,N,Joy,N,N,
Wow Grabe si boy tapang,F,N,Surprise,N,N,
Kaya yan magamot,F,N,Joy,N,N,
Sana MA operahn na sya,F,N,Sadness,N,N,
Sa [NAME] bookhor ang tawag jan,F,N,Joy,N,N,
Bat po genon ang isa nya mong daliri?,F,N,Sadness,N,N,
Puro paganda yung nanay nakalimutan ang mga anak,F,N,Anger,N,N,
ang cute and ang bait ni arby! sana matulungan siya. saludo pa din ako sa pamilya nya dahil sobrang tutok sila kay arby kahit papaano.,F,N,Joy,N,Y,
Baka maging cause ka pa ng panibagong virus. Tsk.. marami naman jan pagkakakitaan para may makain. Hindi ganyan,F,N,Fear,N,N,
Kawawa nmn cla masyado mdami kc mga corrupt mga walang awa sa mga tao,F,N,Sadness,N,N,
Hindi aq maarte pero nasusuka n aq dto s panonood nato,F,N,Disgust,N,N,
subukan mo naman paamohin si Bessy...,F,N,Joy,N,Y,
Buti di nanunuklaw,F,N,Fear,N,N,
Ano b yan panget nmn yan pati sariling tanim s lupa mo huhulihin ka,F,N,Anger,N,N,
Baklang to nakakabweset,F,N,Anger,N,N,
Huhulihin nila tpos sila makikinabang na mga pulis lol kayo ingit lang kayo gsto nyo kayo yomaman,F,N,Anger,N,N,
"Gusto sana umasenyo ng mahihirap lalong naghirap pati matanda pambili saana ng gamot dinakip pa kawawa naman yong matanda  
Nakakatakot naman to 😔😔",F,N,Sadness,N,N,
"Guys, let's help [NAME]...at 3.5 m viewers kahit half of that mag ambag ng 5 pesos...she can have a new life and will have more confidence in herself. That alone is priceless!",F,N,Sadness,N,N,
Bakit ang lalaki ng ilong,F,N,Sadness,N,N,
This girl is beutiful to me ❤,E,N,Joy,N,N,
Pero pag natuto kumain ang mga tao ng insekto baba ang kagutuman sa mundo,F,N,Sadness,N,N,
baka jan na naman mag sisimula ang bagong virus..hahah,F,N,Joy,N,N,
"Mukhang mabait si [NAME], ganyan talaga ang buhay laban lang. Kaso mali ung aksyon nya na kaylangan nyang harapin.",F,N,Sadness,N,N,
"Grabi, iilan lang ang kahoy na yan  , grabi naman [NAME] na yan,",F,N,Sadness,N,N,
Salamat [NAME] soho,F,N,Joy,N,N,
"marami talaga ahas sa [NAME], sa antequera ibang ahas din meron sila kasi nanghahabol, nakakatakot. baka sira na ang bahay nila sa ilalim kay naglalabasan. 🙄🙄🙄",F,N,Fear,N,Y,
🤬 [NAME]. KINUKURAKOT NIO LANG YAN.,F,N,Anger,N,N,
Labas na yng mga bilyonaryo at mayyaman dyn..give her a chance please..🙏🙏💰💰💰 help her..,F,N,Sadness,N,N,
Exoticacorona virus hahahahaha yan new virus pag Na kita mo si boy tapang layu Na kayu ok,F,N,Joy,N,N,
Wsg snaa tayng manghusga.maganda naman tlaga sya kung d lng ung left cheeks nya..sa mundo ang mga mata ng mga tao mapanghusga at ang bibig ay mapanglait,F,N,Sadness,N,N,
Sa mga nag block sa kaniya pag nakikita ying tunay na mukha .. who you kayo,F,N,Sadness,N,N,
kung nakatanim sa lupain bkt po bawal. 🙄,F,N,Anger,N,N,
Dapat malaki. Huuuu nubayan! Joke 😅✌🏽,F,N,Joy,N,N,
Basura nanay neto hahaha mukang okay lang siya? Di niya man lang nabilhan ng gamot hahahaha mother of the year,F,N,Anger,N,N,
Ay naku pag eto nagmula ng bagong virus yari [NAME] .,F,N,Fear,N,N,
Pangatong lang to sa probinsya namin eh,F,N,Joy,N,N,
Besik Lang haha🤣,F,N,Joy,N,N,
BBQ na sawa hahahaha ay hindi pala BBQ cremated pala ahhahaha,F,N,Joy,N,N,
"Naawa naman ako sa gay nag mahal lang sya pero mali parin ginawa nya,haissst,iba talaga ang nagagawa ng pag ibig or pagseselos😢",F,N,Sadness,N,N,
"Ito ang paraan ng pagpapatubo ng buto ng lapnisan or agar tree
https://www.youtube.com/watch?v=emBWot7LM8w&feature=share",F,N,None,N,L,
I am happy on how they really rescued [NAME] from physical and mental health. He looks normal now as well as his mental health❤️❤️ really happy for [NAME] and his family.,E,N,Joy,N,N,
Ayy kalako soco yun pala [NAME] soco,F,N,Joy,N,N,
Bakit walang warrant at lahat nang mga pulis hindi naka uniform?,F,N,Anger,N,N,
"Wooohhh yung naghahanda ka ng kakainin mo pero napanood moto🤣🤣🤣
Puchaaah humapdi yung tiyan ko!🤢🤮",F,N,Disgust,N,N,
Na ngangati ang ulo ko!!!,F,N,Disgust,N,N,
"ganitong mga content sana pinapa viral ng mga influencers. hindi yung malalaswa, puro prank, at mga toxic na content.",F,N,Joy,N,N,
Jumpscare at 2:43,E,N,None,N,N,
Hayaan nyo lang ahas. Kung wlaang mga ahas. Dadami ang pesteng daga na pinagmumulan ng ibat ibang sakit na nakamamatay,F,N,Fear,N,N,
ubos nanaman ang kagubatan neto,F,N,Sadness,N,N,
Moral lesson kapag may malaking pagkakakitaan wag niyo e featured sa [NAME] mga yawa,F,N,Sadness,N,N,
inggit lang ang [NAME] kaya na hinuhuli hahahaha,F,N,Joy,N,N,
Diosko po nasan ang nanay ng mga batang to..nung bata ako nd tinitigilan ng nanay ko ang ulo ko kaht wala na makuha..,F,N,Sadness,N,N,
Tumatayo balahibo ko sa pisnge,F,N,Fear,N,N,
"minsan, everyday.",F,N,Joy,N,N,
Dapat hindi ipagbawal para ganahan ang mga tao magtanim. Baka nga naman makulong pa sila pag inani na  ang puno pag lumaki na.,F,N,Sadness,N,N,
Nkakatakot nman !,F,N,Fear,N,N,
😂😂😂😂😂 galing mag hugot,F,N,Joy,N,N,
Mabubuhay din naman ako ng mapayapa ng wlang mga ahas... [NAME] ko....,F,N,Fear,N,N,
"""BASTA ANG IMPORTANTI,MAHALAGA""",F,N,Joy,N,N,
"Hellow ,,,,naku po,,, di magtanim sa sariling lupa,,,,bakit pakiki alaman pa ba ng [NAME] kahit pagmamay ari mo? Anu gusto nila cla lng ang yayaman? [NAME] talaga!!!!",F,N,Anger,N,N,
*PAANO NA KUNG SARILI MONG LUPA NAKATANIM ANG AGAD WOOD??? ILEGAL PA DIN BA??*,F,N,Anger,N,N,
Totoo nga Ang kasabihan na nasa huli Ang pag sisi kaya dapat pag isipang mabuti bago gawin,F,N,Sadness,N,N,
Sana ma operahan na sya,F,N,Sadness,N,N,
"Marami Yan smin sa probinsya,Ang katas nyan umaapoy nga, Yan nga panggamit namin sa pagpapaapoy",F,N,Joy,N,N,
https://youtu.be/zcplZ3Q4r50,N,N,None,N,L,
Kinuha daw ni froni ung sakit nya..kagagohan 🤣...di ba pwedeng c [NAME] ang nagpagaling??????,F,N,Anger,N,Y,
Hayop nagulat aq 🤣🤣🤣😂😂,F,Y,Joy,N,N,
Di naman rason na walang ayuda at makain. Pwd ka kumain ng kamote or talbos..tanim sa paligid..wag po tayo umasa sa ayuda kesa pinagkakain mo. 🤮🤮🤮,F,N,Sadness,N,N,
Ms [NAME] soho baliw na tao yan please ipadala nyo na sya sa mars,F,N,Anger,N,Y,
Si hipon girl ba to?,F,N,Joy,N,Y,
Kakadirinaman nayn,F,N,Disgust,N,N,
Ka boses ni digong si se[NAME]i ah hehe.yung png 2 ahas kahit sya mkagat wala nmn lason un kasi sawa un engot..my mga bagay n hindi prin mapaliwanag ng science..kung anting yn kahit si einstein nd alm un,F,N,Anger,N,Y,
Maganda naman sya😊😍,F,N,Joy,N,N,
"Eto dapat pinag aaksayahan ng pera sa pag paparetoke ng mukha. kesa kay Xander Ford na rapist. Sana matulungan nyo umayos mukha nya, gaya ng ginawa nyo kay Xander Ford na hambog.",F,N,Anger,N,Y,
Baga gosto din nilang yumaman,F,N,Anger,N,N,
Paano naman kung pinag hirapan monb itanim at mag antay ng ilang taon?  Mga pinoy nga talaga mga seloso walang ibang ginawa  kun di makialam ng buhay na may buhay.,F,N,Sadness,N,N,
"Bakit ibawal eh di Naman mauubos Yan madami Naman mag tatanimyan. Ayaw nyo umasinso mga Tao hayz
Di mauubos Ang puno agad nyo ipag bawal grabe Naman pinoy",F,N,Sadness,N,N,
Bwiset pala ung lapnisan na iyan  Kung mag tatanim ka bi bilang ng taon n aalagaan  bawal putulin o anihin  para ka pala mag tanim ng Sana ng loob.,F,N,Anger,N,N,
Nagmahal nasaktan.. Nakulong. Hahaha,F,N,Sadness,N,N,
Minsan everyday,F,N,Joy,N,N,
Yucks ka damak.,F,N,Disgust,N,N,
Momy oni ouh tulongan mo siya pra gumanda,F,N,Sadness,N,Y,
Pwd nmn gawing pang kabuhayan yan s legal n paraan..turuan ng govt mag tanim s sariling lupain ng mga magsasaka.madali nmn daw buhayin yan eh..parang mahogany din.,F,N,Sadness,N,N,
SI [NAME] KAYA NYA GAGAWING BARYA ANG BENTE PESOS DAHIL SA PAG IWAS NANG PAGPUTOL SA PUNO,F,N,Joy,N,N,
When I hear se[NAME]i I thought I click the wrong vid cause i know it’s from yandere,E,N,Surprise,N,N,
Hi mga kapuso pasubscribe naman po kay tatay Batonggala vlog .,F,N,Joy,N,Y,
Unfair ng life mas maige pa mag benta nyan kaysa sa drugs tapos pag babawalan . Tsskk kaya d na unlad ang bansa e.,F,N,Sadness,N,N,
Pataynana sana yan,F,N,Anger,N,N,
ang gaganda ng mga kulay ng pythons na nahuli nila..😯,F,N,Joy,N,N,
Para sa pamilya gagawin talaga pag wala ng iba pra grbi kawawa🥺,F,N,Sadness,N,N,
YAK EWW EEEEH YEEE KADIRI,F,N,Disgust,N,N,
"Dapat isinama nlng nya ung mga anak nya s pag.alis nya... Lalo n ung iba Ang ama,cguradong pag.iinitan un NG kinakasama nya",F,N,Sadness,N,N,
"Bantay salakay din yung mga ng huhulo oi, eh sila naman din yung bumibinta tapos manghuli. Unfair din.",F,N,Anger,N,N,
😢😢😢😢😢npsigaw ako nung toklwin ung tao😃😃😃😃😃😃😃😃,F,N,Joy,N,N,
pinapanuod ko palang nasusuka nako iwwwwwwwwwwww,F,N,Disgust,N,N,
Loving this episode bless you kuya Sana tuloyan kana gumaling,F,N,Joy,N,N,
Puno ng agar nabasa ko yan sa bible ahh 😮🤔❤️,F,N,None,N,N,
Naawa ako kay [NAME],F,N,Sadness,N,N,
Bitayin sana yan!!..,F,N,Anger,N,N,
iba [NAME] pag pag malaki ang kikitain bawal,F,N,Anger,N,N,
Dugyot mu....yaks,F,Y,Disgust,N,N,
Ang goberno talaga!! Tax Ang gusto Nyan...🤪🤪🤪,F,N,Anger,N,N,
6:56 normal naman yan kahit kanino kahit pa sa mga health concious..madami nga jan sobrang linis pero mas madaming complications,F,N,Sadness,N,N,
Nandiri ako haysss sorry,F,N,Disgust,N,N,
Goodluck girl ! Ipag pray ka namin,F,N,Joy,N,N,
ako lang ba nagulat nong natuklaw sya ng ahas hahahha 😂🤣🤣🤣,F,N,Joy,N,N,
Nakampunta nako jan sa buhol may fake pag katapos pero totoong katawan,F,N,Joy,N,Y,
[NAME] is good all the time🙏[NAME] bless kuya [NAME] at sa tumulong sa kanyan.. Maraming salamat sa tulong mo kapatid,F,N,Joy,N,N,
Magbenta ng kilo2 lapnisan huli ayon sa batas bawal!! Pagkasira ng kabundukan at karagatan dahil sa illegal minings ok lang malaki nman bigay!,F,N,Anger,N,N,
"""Minsan everyday""",F,N,Joy,N,N,
Small youtuber. Hug to hug,E,N,Joy,N,N,
gwapo pala kapag na make over siya? [NAME] bless sa mga taong nasa likod nag pagbabago ni [NAME]..,F,N,Joy,N,N,
Pagaling kpa [NAME] [NAME]bless [NAME]🙏🙏🙏,F,N,Joy,N,N,
face transplant . ❤🙏🏻,E,N,Joy,N,N,
"maganda nmn cya tlga,, kita sa ugali tsaka sa kabilang pisngi",F,N,Joy,N,N,
puti payung ngipin nya s aakin,F,N,Joy,N,N,
Ang ganda infairness ang bait pa,F,N,Joy,N,N,
ilagay niyo suka at shampoo,F,N,Sadness,N,N,
Kalouy d ay sa storya ni [NAME].naa gyud poy lalaking manloloko...[NAME] bless you [NAME] sana gumaling kana..,N,N,None,Y,N,
"eh kung nanganganib ng maubos, eh di MAGTANIM MARAMI, PADAMIHIN.. ganun nman ang DAPAT diba, Simple. MADAMI LANG TALAGANG TAMAD.",F,N,Anger,N,N,
Nag suka po ako dian nakaka diri,F,N,Disgust,N,N,
"ung gusto dynmkipgyakpan dalw lngsa aking bkuran
👇👇",F,N,Joy,N,N,
Sana magtuloy tuloy ang magandang recovery mo Sir [NAME].  Ilead ka sa tama ng sa gayon may mainspire sayo na mgbago habang hindi pa huli ang lahat.,F,N,None,N,N,
Magpakailan man gandang story to.,F,N,Joy,N,N,
Maganda nman sya at higit sa lahat mabait pa lalong lalo na may pangarap nmaka tulong sa family.,F,N,Joy,N,N,
Ang cute Nong Nasa Barangay xa para magpa aircon 😘😘😊😊,F,N,Joy,N,N,
Ms.Kara san po sa pasig ai lola [NAME]ia?please let me know po...i like to share my blessing..sakit po sa dibdib makita eh..salamat po,F,N,Sadness,N,Y,
Punta ka dito bahay dami namin ipis,F,N,Joy,N,N,
kapag malaking pera jan...bawal agad sa goverment kasi swapang....kahit puno pa yan ng kamatis pag malaking pera pinag usapan dnr aksyon agad...recycle agad....sla na benta.,F,N,Anger,N,N,
Naalala ko tuloy si Rene Requiestas.,F,N,Joy,N,Y,
Love really drives you crazy. [NAME] I salute you for being sincere.,E,N,Joy,N,N,
iniimprove nyo mga walang kwentang kung anoano . yan ang dapat pagyamanin mataas pala value,F,N,Anger,N,N,
Mgnda syang bata,F,N,Joy,N,N,
Lahat nlng bwl hnd nmn mauubus yan,F,N,Anger,N,N,
putanginang mga engkanto to,F,Y,Anger,N,N,
She is beautiful no matter what🙂❤️,E,N,Joy,N,N,
bakit may kulong ??? nagmahal lang yung beki..kasalanan nung guy..,F,N,Sadness,N,N,
lupa naman nia un at sia may ari kung di mahal bentahan nun magiging iligay ba un.,F,N,Anger,N,N,
Sa lalaki muna lang sana binuhos yang asido .,F,N,Anger,N,N,
Karma is a bijj,F,N,Joy,N,N,
Minsan everyday 😂,F,N,Joy,N,N,
"Pwde pa ma yang magamot?.. I mean, kung operahan?..",F,N,Sadness,N,N,
*Welcome to the World of snake buster*,E,N,Joy,N,N,
"Jan magaling ang pinoy illigal daw pero sila hinde, lumalabas pagka swapang sa mamahaling kahoy. KAPWA pinoy, ninanakawan KAPWA pinoy NG harapan. CRABMENTALITY BY PINOY",F,N,Anger,N,N,
"Goberno lng manginginabang dyan
Real talk",F,N,Anger,N,N,
pnhon pa ng aquino yn hanggang ngayon nangyyari p rin dhil sinisira nila ang hindi nila ka alyadong presidente,F,N,Anger,N,Y,
Kadiri ka wala kabang makain,F,N,Disgust,N,N,
🙏🙏🙏🙏🙏🙏🙏🙏🙏😭😭😭,N,N,None,N,L,
Girl sinabunutan mo nalang sana..  Kesa sabuyan ng kung ano man.. 😥😥,F,N,Anger,N,N,
[NAME] lang ang pwedeng mag benta,F,N,Anger,N,N,
Wala man lang kayu natulong [NAME] tsk,F,N,Anger,N,N,
Pabilis ng pabilis ha😂😂,F,N,Joy,N,N,
yan ung ginagawa faham no mga [NAME],F,N,Joy,N,N,
I sense Magpakailanman.,F,N,Joy,N,N,
"Grabi ang curap ehh
Ayaw nila yumaman ang pilipino",F,N,Anger,N,N,
Ok lang yan kaya mo yan maganda ka naman talaga,F,N,Joy,N,N,
Kasalanan ng nanay yan wlang pakialam sa mga anak!,F,N,Anger,N,N,
kung millionaryo lang ako tutulongan kita.. i hope na may mga busilak na puso ang tumulong sayo.. you so pretty just keep praying lang.. ingat ka lagi🙂,F,N,Sadness,N,N,
kawawa si [NAME] nagmahal ng maling tao :(,F,N,Sadness,N,N,
Atleast supportive Naman si lolo kay [NAME]❤️,F,N,Joy,N,N,
"hindi ko lubos na maintindihaan ang [NAME] na yan. pero isa lang ang masasabi ko,bitter siya :D",F,N,Joy,N,N,
Grabe ang laki ng impact na binigay mo kay [NAME]. . Salamat kasi may busilak kang puso.,F,N,Joy,N,N,
Sure akong nangati at napakamot ka sa ulo mo habang nandidiring pinapanood i2.Pakiunang tirisin ang ina ng mg bata sakapabayaan sa anak kaya umabot sa ganyankarami ang ku2 ng mg anak nya!👍👍,F,N,Disgust,N,N,
